State,PIB_Per_Capita
Rondônia,58170096
Acre,21374440
Amazonas,131531038
Roraima,18202579
Pará,262904979
Amapá,20099851
Tocantins,51780764
Maranhão,124980720
Piauí,64028303
Ceará,194884802
Rio Grande do Norte,80180733
Paraíba,77470331
Pernambuco,220813522
Alagoas,76265620
Sergipe,51861397
Bahia,352617852
Minas Gerais,857593214
Espírito Santo,186336505
Rio de Janeiro,949300770
São Paulo,2719751231
Paraná,549973062
Santa Catarina,428570889
Rio Grande do Sul,581283677
Mato Grosso do Sul,142203766
Mato Grosso,233390203
Goiás,269627874
Distrito Federal,286943782
