Status,LeadSource,CreatedDate,AnnualRevenue,Sector,ProductInterest,State,IsConverted
Working,LinkedIn,2025-10-23,3862816,Banking,Directors & Officers (D&O),Rio de Janeiro,0
Closed - Not Converted,Trade Show,2025-02-05,22731976,Financial Services,Corporate Life Insurance,Rio de Janeiro,0
New,LinkedIn,2025-04-07,580326,Insurance,Fleet Auto Insurance,Bahia,0
Working,Web,2025-11-04,7781616,Financial Services,Pension Fund Management,Minas Gerais,0
Working,LinkedIn,2025-08-20,75651702,Financial Services,Fleet Auto Insurance,Sao Paulo,0
Working,LinkedIn,2025-05-06,1194707,Insurance,Pension Fund Management,Sao Paulo,0
New,Referral,2025-11-10,459513,Insurance,Group Health Insurance,Santa Catarina,0
Working,LinkedIn,2025-05-18,5117428,Financial Services,Corporate Life Insurance,Sao Paulo,0
Closed - Not Converted,LinkedIn,2025-08-19,196004,Insurance,Fleet Auto Insurance,Sao Paulo,0
Closed - Converted,Trade Show,2025-10-15,1107341,Insurance,Pension Fund Management,Sao Paulo,1
Working,Partner,2025-09-17,2554015,Insurance,Corporate Life Insurance,Distrito Federal,0
New,Web,2025-01-23,95714,Insurance,Fleet Auto Insurance,Bahia,0
Closed - Converted,Web,2025-08-27,1076708,Retail,Corporate Life Insurance,Santa Catarina,1
New,LinkedIn,2025-11-11,72999,Insurance,Group Health Insurance,Santa Catarina,0
Working,Web,2025-07-12,3218491,Financial Services,Pension Fund Management,Distrito Federal,0
New,Web,2025-05-06,1223229,Insurance,Commercial Property,Minas Gerais,0
Working,Referral,2025-10-31,7148558,Banking,Pension Fund Management,Distrito Federal,0
Working,Trade Show,2025-08-21,1019817,Insurance,Fleet Auto Insurance,Rio Grande do Sul,0
Closed - Not Converted,Partner,2025-05-25,9348796,Financial Services,Cyber Liability Insurance,Rio de Janeiro,0
New,Cold Call,2025-09-09,25428463,Financial Services,Directors & Officers (D&O),Rio de Janeiro,0
Working,LinkedIn,2025-03-17,1016798,Insurance,Corporate Life Insurance,Rio de Janeiro,0
New,Partner,2025-08-02,4503623,Financial Services,Commercial Property,Sao Paulo,0
Nurturing,Web,2025-02-22,952488,Insurance,Group Health Insurance,Minas Gerais,0
Working,Referral,2025-08-22,2878891,FinTech,Commercial Property,Santa Catarina,0
