StageName,Amount,CreatedDate,CloseDate,Probability,LeadSource,Product
Closed Won,51441,2025-10-15,2025-12-07,100,Trade Show,Pension Fund Management
Closed Lost,13265,2025-08-27,2025-10-01,0,Web,Corporate Life Insurance
Closed Lost,310784,2025-06-08,2025-08-22,0,LinkedIn,Directors & Officers (D&O)
Closed Lost,25426,2025-11-19,2026-04-17,0,Trade Show,Corporate Life Insurance
Negotiation/Review,32806,2025-05-13,2025-07-29,90,Trade Show,Corporate Life Insurance
Negotiation/Review,63881,2025-04-16,2025-07-05,90,Web,Commercial Property
Closed Won,13772,2025-07-12,2025-10-07,100,Referral,Corporate Life Insurance
Closed Won,62650,2025-10-04,2026-03-02,100,Web,Fleet Auto Insurance
Closed Lost,66237,2025-11-21,2026-02-10,0,LinkedIn,Corporate Life Insurance
Closed Won,110933,2025-07-09,2025-08-08,100,LinkedIn,Commercial Property
Closed Won,213442,2025-11-11,2025-12-14,100,Referral,Cyber Liability Insurance
Closed Lost,338968,2025-08-09,2026-01-22,0,Cold Call,Fleet Auto Insurance
Closed Won,23972,2025-11-21,2026-02-25,100,Trade Show,Cyber Liability Insurance
Closed Won,1024112,2025-03-22,2025-05-06,100,Referral,Fleet Auto Insurance
Closed Won,669975,2025-08-15,2025-12-27,100,Cold Call,Corporate Life Insurance
Closed Won,141412,2025-02-18,2025-07-22,100,Referral,Group Health Insurance
Closed Won,157252,2025-09-12,2025-12-12,100,Partner,Commercial Property
Negotiation/Review,267590,2025-11-27,2026-01-26,90,LinkedIn,Fleet Auto Insurance
Closed Won,249864,2025-01-10,2025-06-30,100,Referral,Group Health Insurance
Closed Lost,152705,2025-03-23,2025-08-09,0,Trade Show,Fleet Auto Insurance
Closed Won,106887,2025-11-10,2026-01-06,100,Web,Commercial Property
Closed Lost,152498,2025-01-21,2025-03-04,0,Web,Corporate Life Insurance
Closed Won,807143,2025-05-03,2025-06-17,100,Web,Fleet Auto Insurance
Closed Won,576960,2025-04-02,2025-07-27,100,Cold Call,Group Health Insurance
Closed Won,932923,2025-05-28,2025-11-11,100,LinkedIn,Corporate Life Insurance
Closed Lost,429237,2025-02-04,2025-04-16,0,Cold Call,Directors & Officers (D&O)
Closed Won,18656,2025-04-26,2025-08-31,100,LinkedIn,Commercial Property
Closed Won,141310,2025-09-03,2025-10-20,100,Web,Corporate Life Insurance
Closed Won,22938,2025-09-25,2026-03-08,100,Trade Show,Group Health Insurance
Closed Lost,40733,2025-08-23,2026-02-11,0,Web,Cyber Liability Insurance
Closed Lost,860972,2025-10-24,2026-03-19,0,Trade Show,Directors & Officers (D&O)
Closed Won,666060,2025-03-28,2025-05-08,100,Partner,Corporate Life Insurance
Closed Won,6130,2025-10-05,2026-03-03,100,Referral,Commercial Property
Closed Won,8445,2025-03-18,2025-09-04,100,Web,Cyber Liability Insurance
Closed Lost,440036,2025-11-16,2026-03-20,0,Cold Call,Group Health Insurance
Closed Won,15022,2025-03-23,2025-09-02,100,LinkedIn,Cyber Liability Insurance
