Id,Name,StageName,Amount,CreatedDate,CloseDate,Probability,LeadSource,Product,LeadId
0069051f1008d53,Tyrell Corp 13 - Pension Fund Management,Closed Won,51441,2025-10-15,2025-12-07,100,Trade Show,Pension Fund Management,00Qacf4aec4ea08
0064fd9d3ed47fc,Hooli 84 - Corporate Life Insurance,Closed Lost,13265,2025-08-27,2025-10-01,0,Web,Corporate Life Insurance,00Q5555b33d1c6f
006d116da111e46,Aperture Science 19 - Directors & Officers (D&O),Closed Lost,310784,2025-06-08,2025-08-22,0,LinkedIn,Directors & Officers (D&O),00Qa34d3092ad79
006a05ced7a46fd,Virtucon 13 - Corporate Life Insurance,Closed Lost,25426,2025-11-19,2026-04-17,0,Trade Show,Corporate Life Insurance,00Q21c66e605908
006246b6c111de6,Umbrella Corp 1 - Corporate Life Insurance,Negotiation/Review,32806,2025-05-13,2025-07-29,90,Trade Show,Corporate Life Insurance,00Qf891199f6248
0066b6f2a56cb4f,Globex 61 - Commercial Property,Negotiation/Review,63881,2025-04-16,2025-07-05,90,Web,Commercial Property,00Q922916acc35f
00680f82f97a7b7,Stark Ind 36 - Corporate Life Insurance,Closed Won,13772,2025-07-12,2025-10-07,100,Referral,Corporate Life Insurance,00Q15d49cb24052
0064d8fced5b008,Aperture Science 5 - Fleet Auto Insurance,Closed Won,62650,2025-10-04,2026-03-02,100,Web,Fleet Auto Insurance,00Q79f22e08115a
006a85bf2724aa9,Initech 84 - Corporate Life Insurance,Closed Lost,66237,2025-11-21,2026-02-10,0,LinkedIn,Corporate Life Insurance,00Qdf0127a634e4
006a0dcf33b5b98,Black Mesa 85 - Commercial Property,Closed Won,110933,2025-07-09,2025-08-08,100,LinkedIn,Commercial Property,00Qc426661fe567
0062a59b74560d6,LexCorp 99 - Cyber Liability Insurance,Closed Won,213442,2025-11-11,2025-12-14,100,Referral,Cyber Liability Insurance,00Q8000cdbdd333
00680b69bc4b558,Initech 38 - Fleet Auto Insurance,Closed Lost,338968,2025-08-09,2026-01-22,0,Cold Call,Fleet Auto Insurance,00Q76ad54e3a019
006dc16485a429e,Massive Dynamic 92 - Cyber Liability Insurance,Closed Won,23972,2025-11-21,2026-02-25,100,Trade Show,Cyber Liability Insurance,00Q6a28a4a59dfe
00648866c3fd52d,Vandelay Ind 74 - Fleet Auto Insurance,Closed Won,1024112,2025-03-22,2025-05-06,100,Referral,Fleet Auto Insurance,00Q0eb5647d6f84
006b1a872006235,Vandelay Ind 61 - Corporate Life Insurance,Closed Won,669975,2025-08-15,2025-12-27,100,Cold Call,Corporate Life Insurance,00Qe3f7b70dd289
0060739796eb1b2,MomCorp 18 - Group Health Insurance,Closed Won,141412,2025-02-18,2025-07-22,100,Referral,Group Health Insurance,00Q67ebc3250520
006a82b77f2579b,Initech 3 - Commercial Property,Closed Won,157252,2025-09-12,2025-12-12,100,Partner,Commercial Property,00Q4fcfb56c11bf
006b6a53028c4ec,Vandelay Ind 85 - Fleet Auto Insurance,Negotiation/Review,267590,2025-11-27,2026-01-26,90,LinkedIn,Fleet Auto Insurance,00Q1bc07ce5bcb3
00688b1e41d3034,Umbrella Corp 71 - Group Health Insurance,Closed Won,249864,2025-01-10,2025-06-30,100,Referral,Group Health Insurance,00Q0e469ccad5f6
00656bc4800d585,LexCorp 92 - Fleet Auto Insurance,Closed Lost,152705,2025-03-23,2025-08-09,0,Trade Show,Fleet Auto Insurance,00Q46b9562960c5
006471305f0445c,Tyrell Corp 79 - Commercial Property,Closed Won,106887,2025-11-10,2026-01-06,100,Web,Commercial Property,00Q4a21b6db09ab
0060a47f56815da,Wayne Ent 26 - Corporate Life Insurance,Closed Lost,152498,2025-01-21,2025-03-04,0,Web,Corporate Life Insurance,00Q9bd9d5103874
006aa495b77ea0e,Aperture Science 43 - Fleet Auto Insurance,Closed Won,807143,2025-05-03,2025-06-17,100,Web,Fleet Auto Insurance,00Q2c71c0e523da
0060f38fc472456,Hooli 13 - Group Health Insurance,Closed Won,576960,2025-04-02,2025-07-27,100,Cold Call,Group Health Insurance,00Q53fe0a10af7c
00692634b8d644a,Dunder Mifflin 56 - Corporate Life Insurance,Closed Won,932923,2025-05-28,2025-11-11,100,LinkedIn,Corporate Life Insurance,00Qc0fd851c74ee
0065008694e0a2c,MomCorp 27 - Directors & Officers (D&O),Closed Lost,429237,2025-02-04,2025-04-16,0,Cold Call,Directors & Officers (D&O),00Qe88855426757
006fbb0ca16abc2,Soylent Corp 7 - Commercial Property,Closed Won,18656,2025-04-26,2025-08-31,100,LinkedIn,Commercial Property,00Q85b44a2f59a7
0062482b9555a29,Initech 12 - Corporate Life Insurance,Closed Won,141310,2025-09-03,2025-10-20,100,Web,Corporate Life Insurance,00Qf5183464192b
00605ddf8c2429d,Virtucon 18 - Group Health Insurance,Closed Won,22938,2025-09-25,2026-03-08,100,Trade Show,Group Health Insurance,00Qc2059e7fa9df
006c9e1b32fc4e6,Vandelay Ind 1 - Cyber Liability Insurance,Closed Lost,40733,2025-08-23,2026-02-11,0,Web,Cyber Liability Insurance,00Q3e767dcbd8e2
006a7a4528fdc3e,Tyrell Corp 65 - Directors & Officers (D&O),Closed Lost,860972,2025-10-24,2026-03-19,0,Trade Show,Directors & Officers (D&O),00Q150cf7b3613e
006c72c9870d87b,LexCorp 49 - Corporate Life Insurance,Closed Won,666060,2025-03-28,2025-05-08,100,Partner,Corporate Life Insurance,00Q56cb50dca553
0065cc07393d04b,Gekko & Co 73 - Commercial Property,Closed Won,6130,2025-10-05,2026-03-03,100,Referral,Commercial Property,00Q499e288f359e
